3d printing,スリーディープリント
ability,アビリティー(能力)
abstract,アブストラクト
access control,アクセス制御
access,アクセス
account,アカウント
action,アクション
activity,アクティビティ
actual,アクチュアル
ad blocker,広告ブロッカー
adaptive learning,適応学習
add-in,アドイン
add-on,アドオン
address bar,アドレスバー
address,アドレス
admin panel,管理パネル
administrator,アドミニストレータ
affiliate marketing,アフィリエイトマーケティング
aggregator,アグリゲーター
ai ethics,ai倫理
ai,エーアイ
ajax,エイジャックス
alert notification,アラート通知
algorithm,アルゴリズム
alpha testing,アルファテスト
alphabet,アルファベット
amazon,アマゾン
analysis,
analytics dashboard,分析ダッシュボード
android emulator,アンドロイドエミュレーター
android,アンドロイド
anonymity,匿名性
anonymous,アノニマス(匿名)
antivirus software,アンチウイルスソフトウェア
antivirus,アンチウイルス
apache,アパッチ
api gateway,apiゲートウェイ
api,エーピーアイ
app analytics,アプリ分析
app store,アプリストア
apple,アップル
applet,アプレット
application layer,アプリケーション層
application,アプリケーション
architecture,アーキテクチャ
area,エリア
array,配列
artifact repository,アーティファクトリポジトリ
artifact,アーティファクト
asp.net,エーエスピードットネット
asset management,資産管理
asynchronous,非同期
attach,アタッチ
attachment file,添付ファイル
attachment,アタッチメント(添付ファイル)
attachment,アタッチメント
attack,アタック(攻撃)
auction,オークション
audit trail,監査証跡
authentication,認証
authorization,認可
auto complete,オートコンプリート
auto-scaling,自動スケーリング
auto,オート
automation,オートメーション
availability zone,アベイラビリティゾーン
availability,可用性
avatar,アバター
back,バック
background color,背景色
background,バックグラウンド
backup,バックアップ
backward,バックワード
band,バンド
bandwidth throttling,帯域制限
bandwidth,バンド幅
bar,バー
base,ベース
batch processing,バッチ処理
behavioral analysis,行動分析
benchmark,ベンチマーク
benchmarking,ベンチマーキング
beta testing,ベータテスト
bi,ビーアイ
big data,ビッグデータ
binary code,バイナリコード
binary search,二分探索
bios,バイオス
bit,ビット
blacklist,ブラックリスト
block storage,ブロックストレージ
block,ブロック
blockchain,ブロックチェーン
blocking,ブロッキング
blog,ブログ
bluetooth pairing,bluetoothペアリング
bluetooth,ブルートゥース
board,ボード
book,ブック
bookmark,ブックマーク
boot,ブート
bootloader,ブートローダー
bot,ボット
botnet,ボットネット
bottom,ボトム
boundary testing,境界テスト
box,ボックス
break,ブレーク
breakpoint,ブレークポイント
bridge,ブリッジ
broad,ブロード
broadband,ブロードバンド
broadcast,ブロードキャスト
browser extension,ブラウザ拡張
browser,ブラウザ
browser,ブラウザー
brute,ブルート
buffer,バッファ
bug,バグ
build,ビルド
burn,バーン
bus,バス
business continuity,事業継続
business intelligence,ビジネスインテリジェンス
button,ボタン
byte,バイト
bytecode,バイトコード
c#,シーシャープ
cache eviction,キャッシュ削除
cache management,キャッシュ管理
cache memory,キャッシュメモリ
cache,キャッシュ
calendar,カレンダー
cancel,キャンセル
capability,ケイパビリティ(能力)
captcha,キャプチャ
card,カード
